kappa,seed,selected_eta,trace_path,sharpe_net_lin,cagr,maxdd,avg_turnover_exec,avg_turnover_target,avg_turnover_ratio_target_over_exec,mean_abs_return_gap,final_equity_gap,max_abs_daily_gap,avg_tracking_error_l2,return_gap_std
0.0,0,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_0/trace.parquet,1.2250227822927695,0.1354915941398642,-0.0633824308435361,0.004984650361148371,0.024923251622968965,4.999999963332857,4.784810518476919e-05,0.0007894583014516066,0.00032519414852819235,0.0047057323450492685,6.797874821889208e-05
0.0,1,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_1/trace.parquet,1.278539316010224,0.1416042318835391,-0.0619937411102711,0.005533682615470955,0.02766841312719358,5.0000000090064445,4.947042531863252e-05,0.0015630255168537222,0.00032444144771084796,0.005277804570778432,6.925219335443558e-05
0.0,2,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_2/trace.parquet,1.2216325309957443,0.135372965999293,-0.0634373163696103,0.004987076609084558,0.024935383114728843,5.000000013897131,5.03625979563342e-05,0.0010519083652398287,0.00026112112590980646,0.0047717957987812734,6.965808384923383e-05
0.0,3,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_3/trace.parquet,1.1606112978735048,0.1288759190956414,-0.0659532439267853,0.004352642556796338,0.021763212660008722,4.99999997151777,4.661652532230083e-05,0.0006685814962017478,0.0005139441648941111,0.00416250610074923,7.423190147556922e-05
0.0,4,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_4/trace.parquet,1.2968399369057226,0.1434442652086494,-0.0608563107542516,0.004701443957719398,0.023507219680526235,4.999999977013284,4.078153914226849e-05,0.0007199385477298925,0.00023250763750094945,0.00443315487257391,5.515350703802443e-05
0.0,5,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_5/trace.parquet,1.20838465364987,0.134642547234048,-0.064511484171569,0.0042792335564858135,0.02139616781963153,5.000000008693721,4.0298356249793445e-05,0.00029145470250568906,0.00020660289156421152,0.0041173080651236895,5.372322891968561e-05
0.0,6,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_6/trace.parquet,1.1748514837550623,0.1297119197474798,-0.0672266828396525,0.005926439012299696,0.029632194580191427,4.999999918786466,6.0912704930873456e-05,0.00043685333377152524,0.0003835879255845477,0.005833153288159809,8.720063179993558e-05
0.0,7,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_7/trace.parquet,1.257970961747487,0.1393291339370415,-0.06142640242746,0.004819068203671372,0.024095340740976034,4.999999942440984,5.337961650433638e-05,0.0007881217458451939,0.00030680895738856295,0.0045704498935615874,7.430927739659267e-05
0.0,8,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_8/trace.parquet,1.1823298294059312,0.1312564817708905,-0.0645192299852718,0.005934755105227048,0.029673775439863808,4.999999985463354,6.298713597014355e-05,0.0030968402437625553,0.00039056693434914944,0.0056933750450192415,8.912204670366069e-05
0.0,9,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0/eta_0.2/seed_9/trace.parquet,1.2091324627929108,0.1341198709484903,-0.0654243652992441,0.00576927504892904,0.028846375073667045,4.999999970364014,5.619850591312304e-05,0.002481687777251107,0.0003950326316712379,0.00546512971651487,8.085540067192677e-05
0.0005,0,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_0/trace.parquet,1.2192511340853764,0.1347791443533947,-0.0634216537704542,0.004984650361148371,0.024923251622968965,4.999999963332857,4.8604857490510575e-05,0.0016822650133996309,0.0003134820637889146,0.0047057323450492685,6.86776020346304e-05
0.0005,1,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_1/trace.parquet,1.2720883691777631,0.1408088634517119,-0.0620387191435368,0.005533682615470955,0.02766841312719358,5.0000000090064445,5.0524457807349965e-05,0.004313065339414335,0.0003456418064403061,0.005277804570778432,7.022834884698063e-05
0.0005,2,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_2/trace.parquet,1.2158665878770345,0.1346601996093708,-0.0634777931436082,0.004987076609084558,0.024935383114728843,5.000000013897131,5.080080177215411e-05,0.0014216593552200951,0.00027136390993309084,0.0047717957987812734,7.012361994862623e-05
0.0005,3,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_3/trace.parquet,1.15560728444015,0.1282572281289953,-0.0659856611492875,0.004352642556796338,0.021763212660008722,4.99999997151777,4.685789752803048e-05,0.0028133777422005846,0.0005254144798965653,0.00416250610074923,7.421112120566627e-05
0.0005,4,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_4/trace.parquet,1.29136021424318,0.1427675696577222,-0.0609002371283791,0.004701443957719398,0.023507219680526235,4.999999977013284,4.081626953761607e-05,0.0016257786515980754,0.0002256691758762584,0.00443315487257391,5.6031995225160075e-05
0.0005,5,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_5/trace.parquet,1.2034708990567735,0.1340313259882457,-0.064542177034393,0.0042792335564858135,0.02139616781963153,5.000000008693721,4.0862436204409056e-05,0.0024100153821897674,0.00021473639752249765,0.0041173080651236895,5.398681858927277e-05
0.0005,6,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_6/trace.parquet,1.1679869991247145,0.128868951297602,-0.0672936334174154,0.005926439012299696,0.029632194580191427,4.999999918786466,6.163264377902749e-05,0.0024875760001339398,0.00040464612219801716,0.005833153288159809,8.780028996774404e-05
0.0005,7,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_7/trace.parquet,1.2523582205533808,0.1386377682001591,-0.0614629367408345,0.004819068203671372,0.024095340740976034,4.999999942440984,5.388017674460066e-05,0.0031816239340392016,0.00031566302908311167,0.0045704498935615874,7.42167828959985e-05
0.0005,8,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_8/trace.parquet,1.175512442980715,0.1304114692473801,-0.0645645860036073,0.005934755105227048,0.029673775439863808,4.999999985463354,6.486484711152465e-05,0.006016307015284106,0.00040366420620924063,0.0056933750450192415,8.93197693153858e-05
0.0005,9,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.0005/eta_0.2/seed_9/trace.parquet,1.2024607144780588,0.1332960834049859,-0.0654701638848591,0.00576927504892904,0.028846375073667045,4.999999970364014,5.718916783471106e-05,0.005329079124338554,0.0003928902926324902,0.00546512971651487,8.138288366666237e-05
0.001,0,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_0/trace.parquet,1.213479324314061,0.1340671394391506,-0.0634608751754339,0.004984650361148371,0.024923251622968965,4.999999963332857,5.0664101661060776e-05,0.0041458438863386515,0.00030176997904963684,0.0047057323450492685,6.967146266608561e-05
0.001,1,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_1/trace.parquet,1.2656374580074503,0.1400140466673991,-0.0620836951876021,0.005533682615470955,0.02766841312719358,5.0000000090064445,5.2937963314787346e-05,0.007053036251833067,0.0003668421651697642,0.005277804570778432,7.142285744856505e-05
0.001,2,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_2/trace.parquet,1.2101005326021743,0.1339478786561139,-0.0635182682998459,0.004987076609084558,0.024935383114728843,5.000000013897131,5.231443150231902e-05,0.0038870699609412362,0.0002816066939563752,0.0047717957987812734,7.078494465199787e-05
0.001,3,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_3/trace.parquet,1.1506032758466989,0.1276388746861529,-0.066018077329872,0.004352642556796338,0.021763212660008722,4.99999997151777,4.91034312612508e-05,0.004951997012818454,0.0005368847948990195,0.00416250610074923,7.435018182149642e-05
0.001,4,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_4/trace.parquet,1.2858803708466202,0.1420912727416952,-0.0609441616179028,0.004701443957719398,0.023507219680526235,4.999999977013284,4.268310593912181e-05,0.003964203321806137,0.00024411737494111317,0.00443315487257391,5.713895925374023e-05
0.001,5,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_5/trace.parquet,1.1985570545462676,0.1334204325141088,-0.0645728689678898,0.0042792335564858135,0.02139616781963153,5.000000008693721,4.258989673847024e-05,0.004522578813050515,0.00022286990348079072,0.0041173080651236895,5.443690526269696e-05
0.001,6,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_6/trace.parquet,1.1611225570735155,0.1280266089577377,-0.0673605795343984,0.005926439012299696,0.029632194580191427,4.999999918786466,6.353092241765185e-05,0.005400544145827357,0.00042570431881149007,0.005833153288159809,8.865159323357696e-05
0.001,7,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_7/trace.parquet,1.2467455562551415,0.1379468201271589,-0.0614994697303534,0.004819068203671372,0.024095340740976034,4.999999942440984,5.5308470493534276e-05,0.005567493150322456,0.0003245171007776604,0.0045704498935615874,7.427829040749094e-05
0.001,8,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_8/trace.parquet,1.1686948082555466,0.1295670849384833,-0.0646099400087122,0.005934755105227048,0.029673775439863808,4.999999985463354,6.811560713055561e-05,0.008924313848902132,0.00041676147806933117,0.0056933750450192415,8.981855241191715e-05
0.001,9,0.2,outputs/paper_rebuild_20260324T065755Z/final_eta/kappa_0.001/eta_0.2/seed_9/trace.parquet,1.195788990264244,0.1324728915356421,-0.0655159603926102,0.00576927504892904,0.028846375073667045,4.999999970364014,5.986071424080734e-05,0.008165599994063744,0.0004139189156173763,0.00546512971651487,8.212957338312558e-05
